x,p11,p12,p13,p14,p21,p22,p23,p24
0.1,0.63301+0.35204i,0.63301-0.35204i,0.96445-1.6424e-15i,1.0331+5.6477e-15i,89.298,0.90442-0.04306i,0.90442+0.04306i,1.1186
0.2,0.79137-8.3822e-15i,1.0253+0.065567i,1.0253-0.065567i,0.95046+1.9706e-16i,12.336,0.92766-0.04577i,0.92766+0.04577i,1.1434
0.3,1.2249-6.6629e-14i,0.76558-1.9894e-14i,1.0592+4.2387e-15i,0.96082+2.5155e-15i,3.4183,1.2018,0.93839-0.046206i,0.93839+0.046206i
0.4,0.8889-0.053456i,0.8889+0.053456i,0.9864-0.030511i,0.9864+0.030511i,1.2973-0.31552i,1.2973+0.31552i,0.94374-0.049215i,0.94374+0.049215i
0.5,0.98616-0.035847i,0.98616+0.035847i,0.89438-0.044055i,0.89438+0.044055i,0.98747-0.27403i,0.98747+0.27403i,0.94576-0.058708i,0.94576+0.058708i
0.6,0.84357-1.0231e-13i,0.99034-0.043491i,0.99034+0.043491i,0.93825+4.1201e-14i,0.85641-0.10101i,0.85641+0.10101i,0.97061-0.086284i,0.97061+0.086284i
0.7,0.98774-0.04092i,0.98774+0.04092i,0.87384+4.9301e-15i,0.916+3.2538e-15i,0.68388,0.99805-0.070066i,0.99805+0.070066i,0.90234
0.8,0.98763-0.040844i,0.98763+0.040844i,0.87771-3.481e-14i,0.91364+2.938e-14i,0.62647,1.0082-0.057388i,1.0082+0.057388i,0.92257
0.9,0.98767-0.040894i,0.98767+0.040894i,0.87802-7.5697e-14i,0.91412+5.9746e-14i,0.61133,1.0139-0.047917i,1.0139+0.047917i,0.93167
1,0.98775+0.04095i,0.98775-0.04095i,0.87754+4.7586e-14i,0.91508-4.0359e-14i,0.61262,1.0179-0.040251i,1.0179+0.040251i,0.93712
1.1,0.98783+0.040995i,0.98783-0.040995i,0.87697+4.3149e-14i,0.91597-3.6031e-14i,0.62096,1.0208-0.033626i,1.0208+0.033626i,0.94079
1.2,0.98791-0.041028i,0.98791+0.041028i,0.87645-7.8257e-14i,0.91669+6.2959e-14i,0.63218,1.0231-0.027557i,1.0231+0.027557i,0.9434
